web-scraper-order,web-scraper-start-url,autoscout24,autoscout24-href,description_raw,price_raw,mileage_raw,fuel_type_raw,location_raw
"1733470904-42","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=77","","https://www.autoscout24.ch/de/d/iveco-3510-turbo-daily-11821673","IVECO 35.10 turbo daily","CHF 3'900.–","192'000 km","Diesel","Route de Sullens 9, 1303 Penthaz VD"
"1733470906-43","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=77","","https://www.autoscout24.ch/de/d/roller-team-livingstone-duo-avance-l2-11887682","ROLLER TEAM Livingstone Duo Avance L2","CHF 49'780.–","53'700 km","Diesel","Hauptstrasse 70, 8546 Islikon"
"1733470908-44","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=77","","https://www.autoscout24.ch/de/d/adria-twin-sports-640-sgx-a256-11955931","ADRIA Twin Sports 640 SGX (A256)","CHF 88'900.–","10'000 km","Diesel","Wannenweg 1, 4133 Pratteln"
"1733470911-45","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=77","","https://www.autoscout24.ch/de/d/vw-t6-california-20-tdi-coast-11965038","VW T6 California 2.0 TDI Coast","CHF 48'500.–","61'000 km","Diesel","Obfelderstrasse 38, 8910 Affoltern am Albis"
"1733470913-46","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=77","","https://www.autoscout24.ch/de/d/phoenix-8300-l-2765400","PHOENIX 8300 L","CHF 115'000.–","115'000 km","Diesel","Via Monteceneri 1, 6593 Cadenazzo"
"1733470915-47","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=77","","https://www.autoscout24.ch/de/d/mercedes-benz-marco-polo-horizon-250-d-4m-automat-11505283","MERCEDES-BENZ Marco Polo Horizon 250 d 4M Automat","CHF 75'000.–","40'000 km","Diesel","Goldschlägistrasse 19, 8952 Schlieren"
"1733470918-48","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=77","","https://www.autoscout24.ch/de/d/sun-living-s65l-11898121","SUN LIVING S65L","CHF 53'900.–","19'500 km","Diesel","ROUTE DU GRANDVAL 10, 2744 BELPRAHON/MOUTIER"
"1733470920-49","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=77","","https://www.autoscout24.ch/de/d/adria-adiva-502-11928975","ADRIA ADIVA 502","CHF 6'400.–","99'999'999 km","-","CANTONALE 27, 6814 CADEMPINO"
"1733470922-50","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=77","","https://www.autoscout24.ch/de/d/maurer-starliner-20-9049212","MAURER Starliner 20","CHF 59'900.–","38'000 km","Diesel","Lerchenweg 14. Oder Läufelfingen ramsachstrasse 26, 4538 Oberbipp"
"1733470925-51","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=77","","https://www.autoscout24.ch/de/d/tabbert-wohnanhanger-tabbert-da-vinci-585-dm-11557550","TABBERT Wohnanhänger  Tabbert Da Vinci 585 DM","CHF 3'000.–","1'111'111 km","-","Sennwalder str 34, 9465 Salez"
"1733470927-52","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=77","","https://www.autoscout24.ch/de/d/mercedes-benz-vito-112-cdi-11799784","MERCEDES-BENZ Vito 112 CDI","CHF 11'900.–","258'200 km","Diesel","Neulandweg 12, 5502 Hunzenschwil"
"1733470933-53","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=76","","https://www.autoscout24.ch/de/d/fiat-15q-23tdi-11905460","FIAT 1.5Q 2.3TDI","CHF 5'500.–","119'000 km","Diesel","Vorbuchenstrasse 13, 8303 Bassersdorf"
