web-scraper-order,description_raw,location_raw,price_raw,price,price_cat,mileage_raw,mileage,mileage_cat,fuel_type_raw,fuel_type_Diesel,bfs_name,bfs_number,lat,lon
1733472392-436,"HOBBY OPTIMA PREMIUM T 65 GQ 2,3 DIESEL AUTOMAT FIAT DUCATO MJ 150","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 64'997.–,64997,50000 - 99999,28'515 km,28515,low,Diesel,1,St. Gallen,17,47.467018127441406,9.58243179321289
1733472398-437,"RIMOR EVO 95 PLUS 2,0 TDCI DIESEL AUTOMAT FORD","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 59'997.–,59997,50000 - 99999,31'555 km,31555,low,Diesel,1,Genève,25,46.193580627441406,6.129368782043457
1733472404-438,"HYMER EXIS-I EX 474 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 140","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 79'996.–,79996,50000 - 99999,23'640 km,23640,low,Diesel,1,Genève,25,46.193580627441406,6.129368782043457
1733472410-439,"WEINSBERG CARASUITE 700 ME 2,3 DIESEL FIAT DUCATO MULTIJET 140","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 64'997.–,64997,50000 - 99999,23'641 km,23641,low,Diesel,1,Bern,02,46.774803161621094,7.615665435791016
1733472416-440,"CHAUSSON KOROS 720 2,0 TDCI DIESEL FORD","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 54'997.–,54997,50000 - 99999,49'985 km,49985,low,Diesel,1,Bern,02,47.07102584838867,7.5950236320495605
1733472423-441,"CARADO CAPRON V 132 2,3 DIESEL FIAT DUCATO MJ","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 46'997.–,46997,20000 - 49999,37'661 km,37661,low,Diesel,1,Aargau,19,47.48258972167969,8.278800010681152
1733472435-443,"CHAUSSON 747 GA WELCOME PREMIUM 2,3 DIESEL FIAT DUCATO MJ 130","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 59'997.–,59997,50000 - 99999,26'652 km,26652,low,Diesel,1,Zürich,01,47.23871994018555,8.749458312988281
1733472461-445,"RAPIDO CI CARAVANSINTERNATIONAL MAGIS 85 INTEGRAL 2,3 DIESEL FIAT DUCATO MULTIJET 130","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 56'997.–,56997,50000 - 99999,27'705 km,27705,low,Diesel,1,Luzern,03,46.924835205078125,8.018625259399414
1733472465-446,"HOBBY OPTIMA T 65 FL ONTOUR 2,2 HDI DIESEL CITROEN JUMPER","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 62'997.–,62997,50000 - 99999,12'847 km,12847,low,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472469-447,"HYMER GRAND CANYON 600 2,3 DIESEL HUBDACH FIAT DUCATO MJ 150","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 53'997.–,53997,50000 - 99999,39'890 km,39890,low,Diesel,1,Aargau,19,47.29646301269531,7.931781768798828
1733472475-448,FIAT DUCATO,"ZOLLSTRASSE 10 & WALDEGG 379, 3436 ZOLLBRÜCK",CHF 48'900.–,48900,20000 - 49999,38'000 km,38000,low,Diesel,1,Valais,23,46.18864440917969,7.297874450683594
1733472480-449,VW TYP 2,"PFÄFFIKERSTRASSE 31A, 8335 HITTNAU",CHF 19'900.–,19900,0 - 19999,200'000 km,200000,mid,Benzin,0,Schaffhausen,14,47.686065673828125,8.622149467468262
