web-scraper-order,description_raw,price_raw,mileage_raw,fuel_type_raw,location_raw,price,mileage,fuel_type_Diesel,price_cat,mileage_cat,lat,lon
1733475853-1246,CARTHAGO Chic C-Line I 4.9,CHF 109'000.–,50'400 km,Diesel,7742 Poschiavo,109000,50400,1,100000 - 199999,low-mid,47.44945526123047,8.291810989379883
1733475855-1247,MERCEDES-BENZ Marco Polo 250 d 4M A,CHF 52'000.–,175'000 km,Diesel,1020 Renens VD,52000,175000,1,50000 - 99999,mid,47.329673767089844,8.781332969665527
1733475862-1248,VW T6.1 California 2.0 Bi-TDI Beach Liberty,CHF 77'900.–,12'000 km,Diesel,"Birsfelderstrasse 50, 4132 Muttenz",77900,12000,1,50000 - 99999,low,47.130332946777344,7.53923225402832
1733475865-1249,VW T6.1 California 2.0 TDI Ocean,CHF 71'700.–,10'000 km,Diesel,"Gwattstrasse 22-28, 3604 Thun",71700,10000,1,50000 - 99999,low,47.4791374206543,7.730919361114502
1733475868-1250,VW California BiTDI Ocean 4M,CHF 81'900.–,30'900 km,Diesel,"Industriestrasse 1, 8307 Effretikon",81900,30900,1,50000 - 99999,low,46.582515716552734,7.65067195892334
1733475870-1251,VW T6.1 California 2.0 TDI Ocean Liberty,CHF 75'500.–,20'000 km,Diesel,"Wankdorffeldstrasse 60, 3000 Bern 22",75500,20000,1,50000 - 99999,low,46.22296905517578,6.9822187423706055
1733475873-1252,FIAT Capron Sunlight I 69,CHF 58'000.–,17'000 km,Diesel,"Sarganserstrasse 40, Verkauf, Werkstatt, 8880 Walenstadt / SG",58000,17000,1,50000 - 99999,low,47.378963470458984,8.680431365966797
1733475876-1253,VW T6.1 California 2.0 Bi-TDI Ocean Liberty,CHF 69'900.–,10'000 km,Diesel,"Elsihof 1, 6035 Perlen",69900,10000,1,50000 - 99999,low,47.40205001831055,8.60916519165039
1733475879-1254,CHALLENGER V114 Start Edition,CHF 48'900.–,13'700 km,Diesel,"3 Route Des Ilettes, 1870 Monthey",48900,13700,1,20000 - 49999,low,47.40205001831055,8.60916519165039
1733475882-1255,VW T6.1 California 2.0 Bi-TDI Ocean Edition Liberty 4Motion,CHF 82'900.–,20'000 km,Diesel,"Kasernenstrasse 67, 7000 Chur",82900,20000,1,50000 - 99999,low,46.22016143798828,6.085522174835205
